titulo,nota,texto
"A FÓRMULA DO SUCESSO",44,"O sucesso vem primordialmente atrás da perseverança, grandes homens de sucessos foram críticos, criativos e perseverantes em suas ideias. A necessidade de uma rotina metódica é específica auxilia para que o criador da ideia de sucesso consiga continuar produzindo a mesma e mantendo sua empresa em pleno funcionamento. Quando se há uma m harmonia entre a as ideias de sucesso e o capital de investimento necessário, temos o nascimento de grandiosas empresas que revolucionam o mundo. Qualquer pessoa pode ser um agente de mudança, desde de grandes criações  a pequenas mudanças diárias na vida e no cotidiano, indo desde de ações de caridade a auxílio psicológico à amigos."
"SENTIMENTO RESPONSÁVEL",48,"Consequência das mudanças        A responsabilidade emocional por si mesmo envolve assumir o comando da situação, não só dos comportamentos que levamos adiante, mas também daquilo que pensamos e sentimos.                Quando nos relacionamos com os demais, na maioria das vezes nos encontramos falando de nós mesmos, ainda que pensamos que estamos opinando a respeito de amigo ou familiar. Falamos algo de acaba se tornando valores banais.                                                                                 A maioria das críticas são feitas por pessoas próximas que atingem em relação nos sentimentos. Os erros de muitos é não saber comunicar de maneira direta e franca quando suas intenções e expectativas está relacionada com qualquer pessoa.                                                         Acabamos cativando expectativas com as quais não conseguimos lidar depois.               "
"SONHAR É NECESSÁRIO",64,"                                                                            O direito de sonhar             Sonho, é algo que assim que nascermos já adquirimos esse direito, que é o direito de sonhar, algo que ninguém pode lhe tirar, começamos lá desde a infância a ter sonhos, vontades e desejos, que achamos impossível realiza-los quando criança, mas com o passar dos anos vemos que sim, tudo aquilo que sonhamos quando criança é possível se realizar. Apesar de quando vamos criando responsabilidade nossos sonhos acabam que se mudam completamente, as vezes mais fácil realizarmos ou as vezes até mais difícil, mas nunca impossível. É claro que quando somos crianças nossos sonhos são bem mais simples, que seria ser um herói, o poder de querer voar enfim tudo que criamos na nossa cabeça quando somos crianças.           Ao passar do tempo, mudamos completamente nossos sonhos, e para que possamos realizarmos eles, precisamos ir atrás, sem medo e com bastante coragem, pois obstáculos sempre temos, e si não tivermos o foco de conquistar esses sonhos, o primeiro obstáculo que surgir já é um motivo para que desista. Claro que temos sentimentos, quase sempre impossível controlar nossas emoções, todos somos assim, mas as vezes somos obrigados a deixar tudo isso de lado, e si não fizermos isso a vida nos obriga a aprender a fazer isso da pior forma, que é com os tombos que tomamos e que nos fazem desistir dos sonhos, aqueles que pensamos toda noite antes de dormir, que é a vontade de realizar, a vontade de um dia tudo isso que passou ser motivo para rir, e ver como tudo aquilo foi necessário acontecer para poder chegar onde chegou, e sentir orgulho de tornar quem se tornou.          Para mim todos nós podemos sonhar e mais que isso, podemos realizar nossos sonhos, pois nada é impossível para quem realmente deseja aquilo e está pronto para enfrentar as pedras que vão surgindo no caminho. É claro que sempre precisamos de alguma motivação, mais o que precisamos saber é que a principal motivação é aquela que vem dentro de você, não adianta ficar esperando a sua motivação sair de alguém que você tanto admira se você não tem aquela que é a mais importante, que é a que vem de dentro de você, pois nossos sonhos só dependem de uma pessoa só, que somos nós mesmo. É claro que sempre vai ter pessoas para te jogar para trás, para que tente fazer com que você desista, isso é um dos principais obstáculos que vamos passar, mais o que precisamos é levantar a cabeça e seguir em frente e sem olhar para trás, e no fim teremos sempre o melhor resultado, que é a vitória. Aquela que todos nós podemos conseguir, basta querer.              "
"CONDIÇÃO HUMANA",44,"Vida Suburbana.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Todos nascem esperam viver um dia uma vida de sonho ,mais a realidade e outra ,principalmente nos bairros podres de algumas capitais,todos passam por algumas dificuldades sejam elas principalmente financeiras e educativas,essas familias tem dificuldades nao só de comunicaçao ,mais de fazer faler seus direitos.Porem serem contribuintes de baixas renda o lucro e tempo que o estado possa investir naquele lugar ,nao vale a pena, gastar com aquelas pessoas .Aquele pedaço terra já pertence a alguém, ou investimento para aquela aréa séria um dinheiro dispertiçado. Um politico contribuinte nao ariscaria investir num lugar , nao teria lugro,como se fala o antigo proverbio &lt;&lt;quem e dono do boi que segura o chifre&gt;&gt; ou &lt;&lt;quem e dono do dinheiro leve o dinheiro para lugar que tem que ir&gt;&gt;mais a realidade de algumas familias e bem outra,amizade de fazer o bem ao proximo e complicado e responsabilizar por aquelas pessoas também,...Mais o exemblo todos tem o direito de dar como falar explicar como uma situaçao pode mudar para melhor ,Talvez nao seja um lugar de sonho  ,mais uma  vida em outro lugar possa ser melhor do que eles estao vivendo naquele momento.A amizade e companheirismo fale a pena se é para viver uma vida mais tranguila e com menos dificuldade . Neste lugar cidade ou estado as crianças poderiam ir para a escola e lá saber caminhar aprender a ser uma pessoa de bem.Isso sim séria fazer uma diferença de entre o bem eo mal.                                                                                                                                                                                                                                                                                                                                                                                               Fim."
"TRANSFORMAÇÃO DA NATUREZA PELA CIÊNCIA ",0,"Natureza x HomemToda existência terrestre advém da natureza, pois nela encontra-se condições básicas para a sobrevivência do ser humano, desde o seu estágio natural até a sua transformação feita pelo ser, a chamada segunda natureza. Todas as mudanças executadas no ambiente são realizadas a partir do trabalho do indivíduo, criando, assim, relações de interdependência social: homem x homem e homem x meio. Essa relação diz respeito às formas pelas quais as ações humanas transformam o mundo e utilizam-se deste para o seu desenvolvimento. Por esse motivo, é importante entender a complexidade com que se estabelece a interação entre a natureza e as pessoas, pois, mesmo com a evolução da tecnologia e das formas da construção da sociedade, a utilização de elementos naturais continuam sendo fundamentais.Originalmente, os primeiros grupos humanos, que eram nômades, utilizavam-se da natureza como habitat e também para a extração de alimentos. Com o passar do tempo, a formação da agricultura possibilitou a fixação das primeiras sociedades, e, o desenvolvimento de diferentes civilizações. Isso foi possível graças a evolução ocorrida nas técnicas e nos instrumentos técnicos que permitiram o cultivo e administrações dos elementos naturais. As sociedades tornaram-se cada vez mais desenvolvidas e, consequentemente, produziram mudanças cada vez mais avançadas em suas técnicas, gerando um maior poder de construção e modificação do espaço geográfico e os consequentes impactos sobre a natureza. Fazendo com que a influência da ação humana sobre a prática natural torna-se progressivamente mais complexa.Essa influência acontece de diversas formas, como é o caso do desmatamento, retirada de recursos do solo, alteração das formas de relevo para o cultivo, etc. Após o século XVIII, com o desenvolvimento da Revolução Industrial, os impactos sobre o meio natural reforçaram-se de maneira, jamais vista, o que gerou acelerados impactos ambientais. Mas é preciso entender que a natureza também gera impactos sobre a sociedade. Um exemplo mais evidente são os desastres naturais, como a passagem de um ciclone ou um terremoto intenso.Em muitas abordagens, considera-se que há uma interação um tanto quanto caótica entre natureza e sociedade. Nesse ponto de vista, entende-se que os impactos gerados sobre a natureza refletem, cedo ou tarde, em impactos gerados da natureza sobre a sociedade. Um exemplo seria o aquecimento global, fruto da poluição e da degradação ambiental.Portanto, é preciso considerar que, independente da forma com que se estabelece essa complexa relação entre homem x natureza, é preciso entender que os seres humanos precisam conservar o espaço natural, sobretudo garantir a existência dos recursos e dos meios essenciais a eles para futuras sociedades. A evolução das técnicas, nesse espaço, precisa acontecer no sentido de garantir essa dinâmica."
"MANIFESTAÇÕES POPULARES",72,"            Movimentos populares e artísticos sempre se fizeram presente no cotidiano da massa popular da sociedade. Visto como forma de liberdade de expressão,em demasiados momentos da humanidade, esse direito se fez reprimido, como na Ditadura Militar brasileira, em que os chefes de Estado se utilizavam de censuras e repressão para manter a ordem civil do regime. A liberdade de pensar e agir se faz de demasiada importância dentro de uma civilização democrática, mas ao se fazer uma análise do Brasil atual, se tem o seguinte questionamento, o direito à liberdade se é concebido ou é uma virtude utópica?                                                                         Primordialmente, pode-se destacar o fato de que uma população alienada sempre acarretou benefícios para o líder vigente, sem informações necessárias pessoas estão fardadas a não questionarem. Um exemplo, é que entre os anos de 1964 e 1985 o país brasileiro esteve em uma Ditadura Militar imposta, direitos básicos dos cidadãos foram restritos com a determinação dos Atos Institucionais, diversos intelectuais, que eram formadores de opiniões através do meio artísticos, foram censurados e presos. Estes episódios se contrapõem, visto que acarretaram uma série de manifestações populares de grande importância, visando a luta pela volta de uma sociedade democrática, pessoas foram às ruas lutar pela reivindicação dos seus direitos constitucionais primordiais.                                                                                                         Segundo o político francês Robespierre, o conceito de liberdade é o poder que o homem tem de exercer como quiser todas as suas faculdades,e, dentre os ideais iluministas é um direito natural do ser humano. Contudo, a ideia de liberdade é um fator congruente, visto que só é possível exercer essa virtude dentro das regras pré estabelecidas de uma instituição, a legitimidade da expressão da opinião é equivalente a aceitação da comunidade em que se está sendo apresentada, visto contrária, se torna um ato contra a moral e os bons costumes. Isto apresenta uma série de contradições com o conceito de autonomia assegurado pela constituição, pois, baseando-se na frase de George Orwell: ´´ Se a liberdade significa alguma coisa, será sobretudo o direito de dizer às outras pessoas o que elas não querem ouvir``.                                 Mediante aos fatos supracitados, é notório a necessidade de uma efetiva melhora, por isso o Poder Executivo em consolidação com os meios midiáticos, devem, através de propagandas e vigilâncias cotidianas, assegurarem a realização do direito atribuído aos cidadãos de liberdade de expressão, pois, desta forma pode haver a legitimidade das diversas opiniões e protestos presente na sociedade. É de se crer que desta forma haja uma melhor "
CORRUPÇÃO,48,"               A sociedade do amanha         Para muitos a corrupção  esta apenas na política , pois a sociedade  tem a corrupção  como a marca dos políticos,  quando na verdade ela vem de pequeno  gestos, que carregamos para vida .    O brasileiro  por si próprio ja é  muito  corrupto, quando fura a fila no banco, infligir  uma leis de trânsito, nao declara seu imposto. Ele  corrompe  a sociedade tanto quanto uma os políticos.   Com pequenos gestos poderia mudar  essa imagem forte e falado  ""jeitinho  brasileiro"" ser ético com o outro não esta em desvantagem,  mas esta em vantagem com vc mesma.   Assim  como ""menos e mais"" com pequenos gestos de cada um, saímos de onde estamos e construindo um pais melhor . Com menos tolerância mais impunidade   Assim  num  futuro  próximo podera fazer diferença nos administradores  do nosso país ."
"VANTAGENS DO BOM HUMOR",72,"A ambivalência astral dos seres humanos na sociedade   A sociedade comteporânea em sua grande parte convivem em um mundo de relações mutuas e necessarias para a sobrevivência. Fato é que ao longo da história os indivíduos que se portavam em bandos sempre obtiveram mais chances de sobrevivência, e com o passar dos anos está lógica se encontra ainda inalterada. Hoje grande parte da população mundial vive em uma sociedade globalizada, no qual ocorre diariamente um grande fluxo de interações socioculturais, econômicas e políticas. Como resultado é vivenciado diariamente uma troca de relações em que ocasionam por vez divergência ou mesmo aliaças, dependendo diretamente da indolê de cada indivíduo no espaço social frequentado,como, um local de trabalho ou na escola.   Fato é que as relações e as amizades são oque movem a felicidade das pessoas, já dizia o filósofo Francis Bacon que a amizade duplica as alegrias e divide as tristezas, porém, dentre o ciclo social em que as pessoas frenquentão diariamente, a quase sempre a insatisfação por algum ou mais indivíduo, tendo como base um preconceito em relação ao modo de agir, pensar e comunicar de outras pessoas. Em um espaço de convivío que a um grande fluxo de relações encontra-se diferentes personalidades entre as quais por vez são bem ou mal humoradas, interferindo diretamente na percepção todos.   A negatividade e a positividade causam diferentes impactos nas pessoas, para muitos a negatividade apenas faz com que os problemas sejam exaltados e as soluções disseminadas segundo o médico e escritor Drauzio Varella, em contra partida a positividade também é enxergada por muitos como algo desagradável. A soberba e a inveja 2 dos pecados capitais são bastante presentes na personalidade de muitos cidadãos, pois é fato em que na sociedade atual onde as pessoas são tratadas grande parte das vezes pelo oque elas tem e não pelo oque são, juntamente com um forte pensamento narcísico generalizado,  positividade e a prosperidade é incomodante os olhos de muitos, mas também satisfatório diante de quem a exala e aos que convivem em harmonia.   Para solução deste problema é de suma importância que as pessoas passam a adotar uma nova linha de pensamento visando uma maior harmonia entre as relações diárias, visando inibir pensamentos egoístas e narcísicos em que a competitividade e a ambição da sociedade atual impôs na sociedade de forma arcaica e egoista, por intermédio da educação nas escolas publicas e privadas, atitudes e ações educativas devem ser aprimoradas, para que os indivíduos durante seu estado de formação possam ser futuramente pessoas mais humanitárias e de melhor convivência com as demais, superando assim obstáculos e resultando em uma vida mais feliz na sociedade."
"TECNOLOGIAS CONTROVÉRSAS",0,"O estagio atual de desenvolvimento da sociedade moderna exige dos sujeitos novas capacidades novas capacidades, habilidades profissionais e sociais, decorrente do incontável crescimento as forças produtivas. Sendo a escola uma eminente instituição  de formação humana torna se profícuo o momento para pensar e reavaliar o seu papel. Neste contexto onde a ideologia afluente dissemina padrões culturais de comportamento e pensamento ausentando as capacidades reflexivas,criticas,de autonomia e de pensamento conceitual próprias dos seres humanos, impõe impresncidiveis  uma analise fundamentada por uma filosofia critica e reflexiva acerca do papel da escola estabelecendo a omnilateridade como principio de formação humana.A escola e uma instituição que tem em seu seio a contradição. Por um lado tem a função de atender as imposições do capital, contribuindo assim com o desenvolvimento da sociedade, por outro, configura-se como instituição homens, logo , ao mesmo tempo que forma homem egoista, o cidadão submisso e individualista, tem potencialmente condições para ir além para humaniza-lo, para desenvolve-lô de forma ampla, abrangendo o maximo das faculdades eminentimente humanas."
"Discriminação racial ",76,"O racismo como tumor social A escravidão, que ocorreu a partir do século XVIII, foi uma prática social em que pessoas poderosas assumiram direitos de propriedade sobre outro impostas por meio da força. Essa cruel ocorrência causou terríveis consequências para os descendentes dos seres escravizados, principalmente os homens e mulheres caracterizados pela maior presença de melanina. A partir disso, o desenvolvimento desse povo foi prejudicado e o racismo se faz presente até nos dias atuais como um preconceito estrutural da nossa sociedade e através da dificuldade de inserção no mercado de trabalho.Em primeira análise, é imperioso destacar o racismo estrutrual presente nas falas e atitudes de toda a população que, na maioria das vezes, não é percebida por quem pratica. A obra literal de Walcyr Carrasco ""Irmão Negro"", por exemplo, evidencia o preconceito racial quando um personagem é acusado de roubar um produto exclusivamente por ser preto. Sabe-se que tal costume ocorre majoritariamente por falta de educação no âmbito familiar e escolar, esses ambientes deveriam ter exemplos de cidadãos capacitados para a construção de jovens que possam erguer gerações escassas de desamor.Ademais, a integração dos seres marginalizados no Brasil é uma tarefa árdua que governantes estão tentando solucionar através da política de cotas para universidades do país, com o objetivo de tornar a presença de pessoas prejudicadas por um fardo histórico mais comum no mercado de trabalho. A utilização dessa medida é amplamente argumentada sob o viés de retrocesso da sociedade e como uma forma de rebaixar a qualidade das instituições de ensino, mas essa afirmação está equivocada, tendo em vista que os estudantes provenientes do sistema de cotas valorizam ainda mais sua vaga pelo simples fato de ser uma grande vitória estar cursando o ensino superior. A banda brasileira O Rappa descreve bem a situação dos afrodescendentes na canção ""todo camburão tem um pouco de navio negreiro"" , destacando as heranças que esses descendentes adquiriram ao longo da história.Em síntese, é imprescindível a ação do Governo Federal aliado ao Ministério da Educação ampliando as medidas de combate a desigualdade no setor educacional por meio do investimento nas escolas públicas, no qual a maioria dos alunos são negros. Além disso, é necessária a conscientização das novas gerações feita pelos responsáveis, a fim de dizimar o preconceito racial da nossa população e integrar os injuriados à sociedade."
